Date,Campaign_Platform,Campaign_Type,Ad_Spend_USD,Clicks,Impressions,Conversions,Revenue_USD,Target_Audience,SEO_Keyword,SEO_Search_Volume,SEO_Difficulty
2024-04-19,Google Search,Performance/ROAS,117.87,3046,829,9,142.45,Gen Z,mobile finance solutions,46055,0.8
2024-05-19,Instagram,Performance/ROAS,454.18,4309,37871,8,905.26,Working Professionals,best budget planning app,14527,1.0
2024-02-22,Facebook,Performance/ROAS,218.19,1491,4867,13,657.6,Gen Z,secure investment tracker,30401,1.0
2024-10-13,Google Search,Performance/ROAS,70.45,2694,49580,14,785.68,Millennials,mobile finance solutions,44153,4.8
2024-06-30,Instagram,Re-engagement,314.39,4280,18809,9,76.73,Working Professionals,secure investment tracker,20670,4.2
2024-08-15,Facebook,Performance/ROAS,90.67,2502,2605,11,899.72,Working Professionals,best budget planning app,35814,0.7
2024-02-10,TikTok,Performance/ROAS,94.44,3090,3644,4,94.16900000000001,Millennials,top rated productivity app,46482,3.8
2024-04-24,Google Search,Brand Awareness,7.91,4552,40782,6,751.03,Gen Z,top rated productivity app,35803,1.5
2024-08-25,Facebook,Performance/ROAS,128.72,3585,27868,10,603.05,Working Professionals,easy goal setting,19757,4.8
2024-06-13,Google Search,Performance/ROAS,439.46,3020,32811,7,99.02,Working Professionals,easy goal setting,6822,2.7
2024-06-12,Instagram,App Install,459.0,4497,24362,12,0.0,Students,best budget planning app,3626,3.1
2024-09-21,Facebook,Re-engagement,360.01,3555,23553,7,217.45,Gen Z,best budget planning app,29846,1.9
2024-08-31,Google Search,Re-engagement,344.96,4510,49007,12,172.81,Gen Z,best budget planning app,11574,2.5
2024-12-20,TikTok,Performance/ROAS,491.04,4772,40950,9,389.49,Millennials,secure investment tracker,28079,2.7
2024-10-02,Google Search,Performance/ROAS,450.09,547,32194,7,143.85,Students,best budget planning app,17446,4.3
2024-02-29,Google Search,Performance/ROAS,454.57,1230,24944,13,317.04,Working Professionals,easy goal setting,12230,4.2
2024-03-07,Google Search,Brand Awareness,417.53,3278,2109,8,869.76,Working Professionals,best budget planning app,35109,0.5
2024-10-03,Facebook,Re-engagement,141.82,3278,39573,11,252.38,Students,easy goal setting,37232,2.1
2024-04-23,TikTok,Performance/ROAS,287.5,1093,46759,12,561.38,Millennials,secure investment tracker,19385,2.9
2024-04-16,Facebook,Re-engagement,238.02,3323,40152,18,434.62,Students,mobile finance solutions,6046,1.8
2024-02-20,Google Search,App Install,380.7,1074,23520,9,0.0,Gen Z,free habit tracker,9569,2.3
2024-03-28,Facebook,Performance/ROAS,400.11,4054,21161,7,803.89,Working Professionals,mobile finance solutions,40264,1.5
2024-03-11,Facebook,App Install,310.34,4328,1175,11,0.0,Students,secure investment tracker,19937,2.5
2024-03-06,Google Search,Brand Awareness,225.4,3536,9877,15,562.26,Students,top rated productivity app,24402,0.9
2024-08-05,Instagram,App Install,66.81,1068,8056,9,0.0,Students,free habit tracker,23864,1.4
2024-09-30,Facebook,Performance/ROAS,363.93,1045,5222,10,254.59,Students,mobile finance solutions,4873,1.7
2024-12-23,TikTok,Brand Awareness,370.62,2035,24666,13,937.43,Gen Z,mobile finance solutions,38690,2.1
2024-11-02,Facebook,Performance/ROAS,44.85,1864,7919,13,258.29,Millennials,best budget planning app,36620,4.6
2024-07-06,Google Search,Brand Awareness,350.26,3921,24021,7,231.49,Working Professionals,best budget planning app,26815,2.7
2024-03-05,Google Search,Brand Awareness,303.53,1534,24775,13,36.27,Working Professionals,top rated productivity app,36272,3.1
2024-02-27,Facebook,App Install,8.03,4595,3555,7,0.0,Students,top rated productivity app,44229,4.2
2024-09-28,Google Search,Performance/ROAS,44.19,3923,43639,13,262.39,Gen Z,free habit tracker,27482,2.3
2024-10-27,Google Search,Performance/ROAS,429.71,3054,9167,7,26.98,Students,secure investment tracker,1937,1.2
2024-05-31,Google Search,Re-engagement,472.56,3053,26163,9,287.62,Students,best budget planning app,10868,2.6
2024-04-14,Facebook,Performance/ROAS,103.82,1577,39114,10,580.68,Gen Z,best budget planning app,35693,4.8
2024-08-17,Instagram,Performance/ROAS,123.1,4684,29374,9,947.01,Working Professionals,mobile finance solutions,4786,1.8
2024-01-16,Facebook,Performance/ROAS,467.28,2971,41638,10,66.12,Students,free habit tracker,25078,1.2
2024-11-27,Instagram,Brand Awareness,85.12,384,47307,13,815.34,Millennials,easy goal setting,12858,2.4
2024-06-22,Google Search,Brand Awareness,343.63,142,23035,11,371.78,Working Professionals,best budget planning app,32018,2.1
2024-02-04,Google Search,App Install,243.13,659,15114,15,0.0,Working Professionals,free habit tracker,21230,2.7
2024-10-30,Google Search,Re-engagement,354.37,524,49304,8,234.37,Gen Z,easy goal setting,17832,2.6
2024-06-02,TikTok,Performance/ROAS,210.9,348,37327,11,620.92,Working Professionals,secure investment tracker,42326,1.5
2024-06-17,Google Search,Re-engagement,166.92,1029,19562,11,413.17,Millennials,easy goal setting,19852,2.5
2024-05-23,Facebook,App Install,295.63,4989,18195,17,0.0,Students,top rated productivity app,4981,4.1
2024-04-06,Facebook,Performance/ROAS,482.74,855,34082,10,839.2,Working Professionals,mobile finance solutions,33522,0.6
2024-08-11,Facebook,App Install,396.53,3178,24449,15,0.0,Millennials,secure investment tracker,37796,1.0
2024-08-28,Google Search,Performance/ROAS,397.33,178,48808,7,466.9,Gen Z,easy goal setting,38031,2.5
2024-04-09,Google Search,Performance/ROAS,105.63,2148,15217,8,246.61,Working Professionals,free habit tracker,28715,1.8
2024-12-20,Facebook,Brand Awareness,420.66,3348,907,11,216.59,Working Professionals,mobile finance solutions,13417,2.1
2024-04-02,Google Search,Performance/ROAS,203.21,802,46617,5,16.2,Millennials,top rated productivity app,45536,4.2
2024-02-26,Google Search,Performance/ROAS,61.77,3890,18971,11,259.22,Millennials,mobile finance solutions,38171,3.5
2024-10-23,Instagram,Re-engagement,210.59,4425,6381,9,452.49,Working Professionals,mobile finance solutions,46653,4.6
2024-06-25,Google Search,Performance/ROAS,133.05,517,1784,4,41.846000000000004,Working Professionals,top rated productivity app,43984,3.9
2024-01-18,Google Search,Performance/ROAS,272.87,2565,43033,15,844.74,Gen Z,easy goal setting,17462,3.1
2024-04-08,Facebook,Performance/ROAS,376.83,3037,45618,7,21.05,Gen Z,secure investment tracker,48180,4.0
2024-08-03,Facebook,Re-engagement,80.57,714,19231,6,931.21,Students,free habit tracker,28700,0.6
2024-11-06,Facebook,App Install,375.95,3686,36781,11,0.0,Working Professionals,secure investment tracker,32019,2.8
2024-08-31,Instagram,Performance/ROAS,96.84,3722,47777,6,138.04,Students,top rated productivity app,16635,0.8
2024-02-28,TikTok,Performance/ROAS,114.39,684,30221,13,820.83,Gen Z,free habit tracker,32808,1.7
2024-02-12,Instagram,Performance/ROAS,305.57,2439,2193,8,744.27,Students,secure investment tracker,13215,4.6
2024-10-22,Google Search,Performance/ROAS,372.91,801,41980,5,326.26,Students,easy goal setting,40256,0.9
2024-01-06,TikTok,Performance/ROAS,430.16,3589,29644,8,712.84,Working Professionals,secure investment tracker,40063,1.1
2024-10-08,Google Search,App Install,166.88,3638,1482,5,0.0,Students,secure investment tracker,8119,2.7
2024-01-18,Facebook,App Install,289.62,3742,7695,9,0.0,Students,mobile finance solutions,29426,0.8
2024-12-22,Facebook,App Install,317.38,3383,27902,9,0.0,Gen Z,free habit tracker,15118,1.3
2024-05-16,Facebook,Brand Awareness,285.2,2607,24651,7,0.72,Gen Z,top rated productivity app,23036,2.2
2024-02-07,Facebook,Performance/ROAS,155.87,3201,22163,12,690.44,Gen Z,free habit tracker,31283,4.3
2024-08-13,Facebook,Performance/ROAS,197.29,2150,22153,12,136.33,Millennials,best budget planning app,39536,2.4
2024-06-11,Google Search,App Install,240.3,1122,33144,12,0.0,Working Professionals,easy goal setting,37614,2.1
2024-02-14,Google Search,App Install,117.27,2003,22169,4,0.0,Working Professionals,free habit tracker,1495,4.5
2024-04-17,Google Search,App Install,132.15,4023,697,11,0.0,Working Professionals,free habit tracker,23900,1.8
2024-08-01,Facebook,Brand Awareness,378.65,2416,5215,16,780.65,Students,free habit tracker,16100,4.5
2024-01-13,Facebook,App Install,292.87,4434,14563,11,0.0,Working Professionals,best budget planning app,41182,1.3
2024-04-19,Google Search,App Install,144.16,3751,36302,8,0.0,Gen Z,mobile finance solutions,32428,3.2
2024-12-02,TikTok,Performance/ROAS,409.1,4492,16335,11,247.65,Millennials,easy goal setting,977,0.6
2024-06-08,Google Search,Re-engagement,126.97,3289,824,15,850.87,Millennials,easy goal setting,38454,3.4
2024-01-29,Facebook,Brand Awareness,260.44,2022,46152,12,460.37,Millennials,top rated productivity app,35868,2.9
2024-06-14,Google Search,Performance/ROAS,353.02,4932,12525,8,563.45,Gen Z,best budget planning app,4416,0.7
2024-05-31,Facebook,App Install,169.66,4221,47544,9,0.0,Working Professionals,best budget planning app,26118,1.6
2024-07-01,TikTok,Brand Awareness,193.42,1112,11199,10,845.69,Gen Z,top rated productivity app,9254,2.0
2024-07-11,Google Search,Performance/ROAS,360.02,3502,44668,11,656.27,Working Professionals,top rated productivity app,39529,1.5
2024-10-27,Facebook,Performance/ROAS,302.21,2818,11558,13,228.56,Working Professionals,free habit tracker,28687,0.8
2024-08-21,Google Search,App Install,182.26,4334,22938,12,0.0,Students,best budget planning app,32539,3.8
2024-11-02,Google Search,Brand Awareness,122.39,3918,46995,11,532.13,Working Professionals,free habit tracker,586,5.0
2024-09-30,Facebook,Re-engagement,383.52,2976,16334,9,989.48,Gen Z,easy goal setting,23424,3.0
2024-10-12,Facebook,Re-engagement,135.23,4782,44616,10,87.96,Gen Z,secure investment tracker,35593,1.3
2024-11-19,Facebook,Brand Awareness,392.65,3582,18784,12,248.07,Millennials,secure investment tracker,33483,4.6
2024-06-15,TikTok,Performance/ROAS,29.75,2064,16297,11,903.91,Millennials,mobile finance solutions,19971,2.9
2024-01-03,Facebook,Re-engagement,184.82,831,32563,6,322.73,Millennials,easy goal setting,1815,2.4
2024-12-25,Facebook,Re-engagement,103.57,1638,27493,10,125.92,Gen Z,top rated productivity app,10768,4.2
2024-07-12,Facebook,Performance/ROAS,433.24,4404,7208,4,84.57000000000001,Gen Z,top rated productivity app,33826,3.7
2024-07-22,Instagram,Performance/ROAS,359.09,413,20388,18,220.43,Gen Z,easy goal setting,2207,3.7
2024-06-14,Instagram,Performance/ROAS,107.58,1389,43115,10,757.22,Students,best budget planning app,40120,2.8
2024-12-29,Google Search,Performance/ROAS,451.71,665,20578,11,988.44,Working Professionals,free habit tracker,16696,0.8
2024-09-21,Instagram,Performance/ROAS,276.68,2053,29913,14,11.25,Gen Z,free habit tracker,44810,4.2
2024-12-24,Google Search,Performance/ROAS,104.64,3259,14951,16,910.24,Millennials,mobile finance solutions,21100,4.3
2024-11-13,Facebook,Performance/ROAS,321.32,4759,13335,10,570.16,Working Professionals,top rated productivity app,6251,4.0
2024-04-28,Facebook,Performance/ROAS,407.66,3844,45388,12,819.25,Students,easy goal setting,47328,1.7
2024-07-24,Google Search,Performance/ROAS,261.95,4088,15712,8,601.13,Working Professionals,top rated productivity app,14239,3.8
2024-04-26,Google Search,App Install,438.11,2332,48946,11,0.0,Gen Z,free habit tracker,40434,4.7
2024-04-10,Google Search,Performance/ROAS,140.31,3072,34941,7,375.44,Gen Z,mobile finance solutions,2493,4.9
2024-01-13,TikTok,Performance/ROAS,329.07,2172,38145,10,918.76,Students,easy goal setting,30842,4.8
2024-06-05,Google Search,App Install,342.32,2807,48882,10,0.0,Millennials,mobile finance solutions,45844,4.0
2024-04-29,Google Search,Performance/ROAS,342.93,3065,32455,6,454.15,Working Professionals,free habit tracker,12921,3.2
2024-07-18,Google Search,App Install,434.34,4516,48108,16,0.0,Working Professionals,free habit tracker,42031,4.4
2024-06-20,Facebook,Performance/ROAS,96.56,2981,35289,10,98.87,Students,mobile finance solutions,35290,4.0
2024-01-17,Google Search,Performance/ROAS,277.59,3176,6251,8,359.31,Gen Z,free habit tracker,39560,2.9
2024-07-20,Google Search,App Install,256.88,596,33794,14,0.0,Working Professionals,easy goal setting,30948,1.7
2024-01-20,Google Search,Re-engagement,295.25,777,5655,11,807.43,Millennials,mobile finance solutions,6782,2.9
2024-05-18,Facebook,Re-engagement,297.96,1196,4582,14,524.7,Students,best budget planning app,43917,4.4
2024-01-21,Facebook,Brand Awareness,265.4,681,31817,8,882.39,Working Professionals,free habit tracker,39975,3.9
2024-02-18,Facebook,Performance/ROAS,85.63,4875,38742,12,288.12,Millennials,mobile finance solutions,13445,2.2
2024-08-19,Google Search,Performance/ROAS,318.62,253,11554,13,997.3,Millennials,free habit tracker,4320,4.2
2024-12-18,Facebook,Re-engagement,136.07,2023,22128,8,210.42,Millennials,mobile finance solutions,18447,5.0
2024-10-07,Facebook,Performance/ROAS,24.49,3863,48942,12,403.6,Gen Z,best budget planning app,25987,4.0
2024-12-13,Google Search,Performance/ROAS,427.22,4491,19027,13,682.4,Gen Z,mobile finance solutions,1572,4.5
2024-07-10,Instagram,Re-engagement,480.55,4020,8130,10,831.01,Students,easy goal setting,40331,3.5
2024-08-30,Google Search,Brand Awareness,18.96,3993,47692,11,348.09,Working Professionals,easy goal setting,35409,2.1
2024-11-20,Google Search,Brand Awareness,459.79,59,37426,10,496.35,Millennials,secure investment tracker,6769,0.8
2024-08-20,Facebook,Re-engagement,484.2,2184,41030,6,463.75,Millennials,easy goal setting,23512,1.3
2024-08-04,Google Search,Performance/ROAS,85.55,2260,44438,8,503.97,Gen Z,easy goal setting,20506,2.6
2024-05-24,Google Search,Performance/ROAS,323.31,1829,8409,13,621.04,Gen Z,free habit tracker,20894,2.3
2024-05-25,Google Search,App Install,148.43,1626,40711,13,0.0,Students,easy goal setting,37234,1.9
2024-10-15,Facebook,Brand Awareness,232.23,4414,533,6,582.29,Gen Z,mobile finance solutions,43576,4.5
2024-04-28,Google Search,Brand Awareness,237.45,1827,19495,11,438.3,Students,top rated productivity app,43551,4.0
2024-09-26,Facebook,Performance/ROAS,218.15,1785,38787,7,274.5,Millennials,secure investment tracker,22458,1.2
2024-09-01,Google Search,App Install,61.47,1359,29721,3,0.0,Gen Z,secure investment tracker,41075,3.8
2024-03-18,Google Search,Performance/ROAS,326.63,135,22083,13,587.09,Millennials,easy goal setting,41388,4.5
2024-11-10,TikTok,Brand Awareness,463.22,2201,2467,9,518.82,Students,secure investment tracker,29014,2.6
2024-10-09,Google Search,Re-engagement,290.48,1754,3683,7,356.6,Students,mobile finance solutions,38669,1.0
2024-05-20,Instagram,Brand Awareness,168.89,1433,10961,15,963.47,Students,free habit tracker,7028,0.9
2024-09-23,Facebook,Re-engagement,127.24,3038,40229,20,576.54,Gen Z,top rated productivity app,28615,0.6
2024-05-30,Google Search,Re-engagement,126.39,3490,2462,5,308.93,Students,easy goal setting,14604,4.6
2024-08-31,TikTok,Performance/ROAS,180.84,926,20638,8,629.86,Students,best budget planning app,28773,3.2
2024-07-15,Facebook,Performance/ROAS,16.64,1773,32891,11,944.72,Students,mobile finance solutions,3234,1.1
2024-05-09,Instagram,Performance/ROAS,231.82,1464,32528,5,553.84,Millennials,best budget planning app,41677,0.8
2024-03-02,Instagram,Performance/ROAS,319.72,2850,35684,12,519.36,Gen Z,mobile finance solutions,6566,4.5
2024-11-05,Google Search,App Install,386.37,3246,4930,13,0.0,Gen Z,secure investment tracker,18411,3.5
2024-05-06,Facebook,Re-engagement,157.17,3087,31226,10,585.59,Working Professionals,secure investment tracker,29777,3.0
2024-06-22,Facebook,Performance/ROAS,185.68,4200,19097,10,203.62,Students,free habit tracker,18449,4.9
2024-02-23,Instagram,Re-engagement,452.51,3909,9883,7,467.37,Gen Z,free habit tracker,8907,2.4
2024-04-02,Facebook,Re-engagement,223.99,2799,23200,8,657.01,Gen Z,top rated productivity app,47756,0.7
2024-03-03,TikTok,App Install,146.13,3035,39898,16,0.0,Gen Z,free habit tracker,8667,0.6
2024-07-21,Facebook,Brand Awareness,406.21,2172,716,7,816.2,Working Professionals,free habit tracker,19647,2.7
2024-10-21,Google Search,App Install,315.79,1261,2922,11,0.0,Working Professionals,free habit tracker,22360,1.7
2024-09-07,Facebook,Performance/ROAS,115.3,2314,7180,14,410.29,Millennials,top rated productivity app,44633,1.9
2024-03-07,Google Search,Re-engagement,348.29,3899,19943,10,921.81,Gen Z,top rated productivity app,37834,0.9
2024-09-10,Google Search,Performance/ROAS,444.83,2784,13504,15,866.29,Millennials,easy goal setting,30413,4.8
2024-03-04,Facebook,Performance/ROAS,338.54,3949,33338,11,111.57,Students,easy goal setting,47922,1.5
2024-06-02,Instagram,Performance/ROAS,133.94,2836,31552,8,197.88,Working Professionals,best budget planning app,10617,4.8
2024-01-15,Instagram,Performance/ROAS,192.54,401,48362,12,440.54,Students,secure investment tracker,26237,2.1
2024-09-23,Facebook,Re-engagement,403.99,830,8833,22,682.36,Gen Z,best budget planning app,45529,1.8
2024-10-22,Facebook,Brand Awareness,158.77,1565,31589,8,493.08,Working Professionals,secure investment tracker,31224,3.3
2024-06-17,Facebook,App Install,78.91,1996,39645,9,0.0,Millennials,free habit tracker,37977,2.9
2024-09-11,Google Search,App Install,215.82,2337,44880,7,0.0,Students,free habit tracker,20360,3.3
2024-07-14,TikTok,App Install,162.81,1952,25659,10,0.0,Working Professionals,mobile finance solutions,26586,4.3
2024-02-10,Instagram,Brand Awareness,26.85,570,43157,8,489.53,Students,easy goal setting,46620,3.0
2024-09-12,Instagram,Performance/ROAS,174.8,1036,15556,12,858.32,Gen Z,top rated productivity app,19805,4.0
2024-08-07,Google Search,App Install,29.91,2597,23163,9,0.0,Gen Z,free habit tracker,28328,2.1
2024-05-31,Google Search,Re-engagement,61.66,1277,35053,8,340.75,Millennials,best budget planning app,28086,0.5
2024-06-02,Facebook,Performance/ROAS,25.38,1161,16570,9,82.61,Students,mobile finance solutions,41740,2.0
2024-04-16,Google Search,Performance/ROAS,278.81,3435,38226,7,778.9,Gen Z,secure investment tracker,21741,3.4
2024-06-05,TikTok,Performance/ROAS,45.04,168,31029,9,531.05,Working Professionals,free habit tracker,18698,1.8
2024-05-09,Facebook,Performance/ROAS,258.77,1026,35261,9,178.12,Students,secure investment tracker,43730,2.9
2024-12-23,TikTok,Performance/ROAS,499.96,876,40556,10,641.39,Working Professionals,free habit tracker,20130,4.1
2024-05-16,Facebook,App Install,106.6,2254,44607,11,0.0,Students,mobile finance solutions,16383,4.7
2024-10-19,Google Search,Performance/ROAS,379.91,4146,4193,13,501.92,Gen Z,secure investment tracker,11327,2.8
2024-11-15,Facebook,Performance/ROAS,329.62,1237,594,4,33.839999999999996,Working Professionals,top rated productivity app,1930,4.4
2024-10-28,Google Search,Re-engagement,213.86,4011,49740,8,547.71,Millennials,easy goal setting,33031,2.9
2024-04-01,TikTok,Performance/ROAS,277.97,2779,46768,17,628.33,Millennials,secure investment tracker,33768,0.9
2024-11-24,Facebook,Performance/ROAS,280.23,2757,41931,9,904.97,Gen Z,best budget planning app,31486,4.9
2024-07-11,Google Search,Performance/ROAS,372.12,2482,20724,11,466.26,Millennials,free habit tracker,2216,2.2
2024-01-24,Google Search,Brand Awareness,139.91,1782,5411,5,974.82,Working Professionals,top rated productivity app,1633,1.1
2024-02-22,TikTok,Performance/ROAS,154.67,2537,36062,7,134.35,Students,easy goal setting,15970,1.8
2024-10-11,TikTok,Re-engagement,412.6,1699,35427,8,934.93,Students,mobile finance solutions,12838,4.8
2024-01-05,Instagram,Brand Awareness,467.22,2859,20916,4,65.464,Millennials,best budget planning app,49057,3.1
2024-10-21,Google Search,App Install,457.72,2693,22603,8,0.0,Working Professionals,easy goal setting,26762,2.2
2024-11-06,Google Search,App Install,65.8,2350,25131,9,0.0,Students,secure investment tracker,14260,2.6
2024-07-16,Instagram,Performance/ROAS,480.73,4025,9044,11,474.6,Working Professionals,secure investment tracker,42614,0.8
2024-12-29,Instagram,Brand Awareness,274.46,4100,21811,7,42.41,Working Professionals,top rated productivity app,20815,4.7
2024-02-16,Google Search,Performance/ROAS,372.51,1824,33597,10,904.35,Students,mobile finance solutions,21799,2.5
2024-07-30,Facebook,Re-engagement,377.74,4544,13051,13,318.82,Gen Z,secure investment tracker,39506,1.0
2024-03-20,Google Search,App Install,375.81,861,22195,9,0.0,Millennials,secure investment tracker,43250,1.1
2024-12-12,Facebook,Re-engagement,369.2,1415,49626,5,778.27,Students,free habit tracker,46528,2.2
2024-03-04,Facebook,Brand Awareness,412.83,353,24421,11,967.74,Working Professionals,best budget planning app,12460,4.2
2024-10-20,Google Search,Performance/ROAS,236.65,2767,9147,11,849.04,Millennials,best budget planning app,41531,3.9
2024-07-12,TikTok,Brand Awareness,333.28,3484,16363,15,504.11,Working Professionals,best budget planning app,29916,4.4
2024-02-08,Google Search,Performance/ROAS,358.72,3057,12666,5,656.69,Working Professionals,mobile finance solutions,23389,0.9
2024-08-02,TikTok,Performance/ROAS,94.2,2590,25225,11,955.81,Students,mobile finance solutions,9449,0.9
2024-08-04,Facebook,App Install,462.84,1303,4598,10,0.0,Students,secure investment tracker,31265,1.1
2024-10-06,Instagram,Brand Awareness,418.31,1048,8429,12,152.66,Millennials,top rated productivity app,43059,3.1
2024-11-12,Google Search,Re-engagement,60.86,1474,23827,13,572.35,Students,free habit tracker,37884,0.7
2024-08-22,Instagram,Re-engagement,77.53,1624,47054,4,15.916,Students,mobile finance solutions,10635,1.4
